Vorname,Nachname,Geburtsdatum,Sterbedatum,Konfession,,Beruf,Geburtsort,Geburtsland,1. Zielland,1. Zielort,1. Ausreise Monat,1. Ausreisejahr,2. Zielland,2. Zielort,2. Ausreise Monat,2. Ausreisejahr,3. Zielland,3. Zielort,3. Ausreise Monat,3. Ausreisejahr,4. Zielland,4. Zielort,4. Ausreise Monat,4. Ausreisejahr,5. Zielland,5. Zielort,5. Ausreise Monat,5. Ausreisejahr
walter,abish,24.12.1931,,jüdisch,literatur und publizistik,schriftsteller,wien,österreich,italien,,0,1938,china,shanghai,0,1940,israel,,0,1949,england,,0,1956,usa,,0,1957
jenny,aloni,07.11.1917,30.09.1993,jüdisch,literatur und publizistik,schriftstellerin,paderborn,deutschland,israel,jerusalem,0,1939,,,,,,,,,,,,,,,,
ernst,angel,11.08.1984,10.01.1986,,literatur und publizistik,dichter,wien,österreich,deutschland,berlin,0,1920,österreich,wien,0,1932,england,,0,1939,usa,new york,0,1940,,,,
erich,arendt,15.03.1903,25.09.1984,evangelisch,literatur und publizistik,lyriker,neuruppin,deutschland,schweiz,,0,1933,spanien,mallorca,0,1934,frankreich,,0,1939,kolumbien,,0,1941,deutschland,wilhelmshost,0,1950
elisabeth,augustin,13.06.1903,14.12.2001,katholisch,literatur und publizistik,schriftstellerin,berlin,deutschland,niederlande,amsterdam,0,1933,,,,,,,,,,,,,,,,
rose,ausländer,11.05.1901,03.01.1988,jüdisch,literatur und publizistik,lyrikerin,Czernowitz,ukraine,ungarn,budapest,0,1916,österreich,wien,0,1918,ukraine,Czernowitz,0,1920,usa,new york,0,1921,deutschland,düsseldorf,0,1965
susanne,bach,29.01.1909,10.02.1997,jüdisch,literatur und publizistik,schriftstellerin,münchen,deutschland,frankreich,,0,1933,brasilien,rio de janeiro,0,1941,deutschland,münchen,0,1983,,,,,,,,
günther,ballhausen,21.01.1912,27.11.1992,,literatur und publizistik,journalist,berlin,deutschland,brasilien,rio de janeiro,0,1937,deutschland,frankfurt am main,0,1960,,,,,,,,,,,,
kurt,barthel,08.06.1914,12.11.1967,,literatur und publizistik,schriftsteller,garnsdorf,deutschland,tschechische republik,prag,0,1933,großbritannien,,0,1939,deutschland,berlin,0,1946,,,,,,,,
lilly,becher,27.01.1901,20.09.1978,,literatur und publizistik,schriftstellerin,nürnberg,deutschland,österreich,wien,0,1933,frankreich,paris,0,1935,russland,moskau,0,1940,deutschland,berlin,0,1945,,,,
else,bassermann,14.01.1878,30.05.1961,jüdisch,theater,schauspielerin,leipzig,deutschland,österreich,wien,0,1934,usa,,0,1939,deutschland,baden-baden,0,1949,,,,,,,,
lilli,palmer,24.05.1914,27.01.1986,jüdisch,theater,schauspielerin,posen,polen,frankreich,paris,0,1933,england,london,0,1934,usa,los angeles,0,1945,deutschland,,0,1954,schweiz,goldingen,0,1960
leopold,jessner,03.03.1878,13.12.1945,,theater,regisseur,kaliningrad,russland,england,london,0,1934,palästina,,0,1935,usa,los angeles,0,1937,,,,,,,,
max,reinhardt,09.09.1873,31.10.1943,jüdisch,theater,regisseur,baden,österreich,usa,los angeles,0,1937,,,,,,,,,,,,,,,,
minnie maria,dronke,17.07.1904,28.08.1987,katholisch,theater,schauspielerin,berlin,deutschland,england,newcastle,0,1938,neuseeland,wellington,0,1939,,,,,,,,,,,,
john,gottowt,15.06.1881,29.08.1942,jüdisch,theater,regisseur,lwiw,ukraine,deutschland,berlin,0,1905,dänemark,kopenhagen,0,1933,polen,krakau,0,1939,,,,,,,,
erwin,geschonneck,27.12.1906,12.03.2008,,theater,schauspieler,bartoszyce,polen,deutschland,berlin,0,1908,polen,,0,1933,russland,moskau,0,1934,tschechien,prag,0,1938,deutschland,berlin,0,1949
josef,albers,19.03.1888,25.03.1976,katholisch,bildende kunst und architektur,maler,bottrop,deutschland,usa,asheville,0,1933,,,,,,,,,,,,,,,,
siegfried,arno,27.12.1895,17.08.1975,jüdisch,film,schauspieler,hamburg,deutschland,niederlande,,0,1933,usa,,0,1939,,,,,,,,,,,,
leo,aschkenasy,18.09.1907,03.06.2005,jüdisch,film,schauspieler,wien,österreich,frankreich,paris,0,1933,österreich,wien,0,1935,frankreich,paris,0,1938,usa,,0,1940,österreich,wien,0,1994
johannes ,auerbach,24.05.1899,07.02.1950,jüdisch,film,bildhauer,wrozlaw,polen,england,,0,1936,zypern,,0,1937,england,london,0,1938,,,,,,,,
felix,basch,16.09.1885,17.05.1944,jüdisch,film,schauspieler,wien,österreich,usa,new york,0,1933,,,,,,,,,,,,,,,,
artur,berger,27.05.1892,11.01.1981,jüdisch,film,filmarchitekt,wien,österreich,sowjetunion,moskau,0,1933,,,,,,,,,,,,,,,,
elisabeth,bergner,22.08.1897,12.05.1897,jüdisch,film,schauspielerin,drohobycz,ukraine,usa,hollywood,0,1940,england,,0,1950,deutschland,,0,1954,england,london,0,1973,,,,
curtis,bernhardt,15.04.1899,22.02.1981,jüdisch,film,regisseur,worms,deutschland,usa,hollywood,0,1933,,,,,,,,,,,,,,,,
curt,bois,05.04.1901,25.12.1991,jüdisch,film,schauspieler,berlin,deutschland,österreich,wien,0,1933,usa,new york,0,1934,deutschland,berlin,0,1951,,,,,,,,
felix,bressart,02.03.1892,17.03.1949,jüdisch,film,schauspieler,kaliningrad,russland,schweiz,,0,1933,usa,los angeles,0,1938,,,,,,,,,,,,
erik,charell,08.04.1894,15.07.1974,jüdisch,film,regisseur,wrozlaw,polen,usa,hollywood,0,1933,deutschland,münchen,0,1945,,,,,,,,,,,,